;name;url
105;ACUNID - Sangüesa-Depuradora de Aguas;67262
106;ACUNID - Santacara-Carcastillo-Río Aragón;72761
107;ACUNID - Sarriguren-Lago de Sarriguren;69471
108;ACUNID - Tafalla-Balsa de Cabriteras;67215
109;ACUNID - Tafalla-Balsa de El Juncal;67216
110;ACUNID - Tafalla-Balsa de Romerales;67217
111;ACUNID - Tafalla-Balsa del Corral del Plano;67212
112;ACUNID - Tafalla-Balsa del Monte/Fuente del Churrero;72026
113;ACUNID - Tafalla-Balsa grande-Balsa pequeña;67214
114;ACUNID - Tafalla-Cados de Berroeta;68901
115;ACUNID - Tafalla-Río Cidacos;72010
116;ACUNID - Traibuenas-Río Aragón;72759
117;ACUNID - Tudela-Arroyo de Murillo de las Limas;69809
118;ACUNID - Tudela-Balsa de Agua Salada;69616
119;ACUNID - Tudela-Balsa del Cardete;67305
120;ACUNID - Tudela-Balsa del Pulguer;67304
121;ACUNID - Tudela-Carrizal de Valdelafuente;72015
122;ACUNID - Tudela-Carrizal de la Torre Río Ebro;67496
123;ACUNID - Tudela-La Mejanica de Mosquera;72014
124;ACUNID - Tudela-Río Ebro Río Ebro;69779
125;ACUNID - Tudela-Soto de Ramalete Río Ebro;69775
126;ACUNID - Tudela-Soto de Traslapuente Río Ebro;69778
127;ACUNID - Tudela-Soto de los Tetones Río Ebro;69777
128;ACUNID - Tudela-Sotos de Murillo de las Limas y la Remonta Río Ebro;69776
129;ACUNID - Tudela-Vertedero de El Culebrete;68796
130;ACUNID - Ultzama-Balsa de Auza o de la Yeguada;68451
131;ACUNID - Valtierra-La Torna;72027
132;ACUNID - Viana-Embalse de las Cañas o del Salobre;68879
133;ACUNID - Viana-Soto Recajo Río Ebro;68893
134;ACUNID - Villafranca-Badina de Escudera (este);68995
135;ACUNID - Villafranca-Badina de Escudera (oeste);68996
136;ACUNID - Villafranca-Badina de Escudera completo;72772
137;ACUNID - Villafranca-Badina de Escudera, Villafranca zona no protegida;68997
138;ACUNID - Villamayor de Monjardín-Carrizal de Urbiola;71188
139;ACUNID - Yerri-Contraembalse de Alloz Río Salado;69830
140;ACUNID - Yerri-Embalse de Alloz Río Salado;68874
141;ACUNID - Yesa-Embalse de Yesa;69811
142;ACUNID - Yesa-Río Aragón, piscifactoría;72008
143;ACUNID - Zizur-Colonia de Ardeidas de la Variante;65922
